INJ_OBD;INJ_HW;IGN;IAC;RPM;MAP;ECT;TPS;SPD;O2SENS;AVG SPD;LPK_OBD;LPH_OBD;LPH_INJ;TOTAL_OBD;TOTAL_INJ;AVG_OBD;AVG_INJ;CURR_OBD;CURR_INJ;CURR_RUN;RUN_TOTAL;INJ_CLOSED;CLOSED_DUR;SAVED_FUEL;;;ÊÃ\× ÂÎÇÄÓÕÀ;;ãð\ñåê;;;1;0.75
2.25;2.31;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.96;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.3;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.95;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.3;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.95;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.3;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.95;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.35;16.53;37.25;1225;2;84.22;0;68;2.5;79.15;2.92;1.98;2.07;23.22;23.63;25.77;26.78;0.49;0.51;1.91;175.74;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.35;16.53;37.25;1225;2;84.22;0;68;2.5;79.15;2.92;1.98;2.07;23.22;23.63;25.77;26.78;0.49;0.51;1.91;175.74;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.35;16.53;37.25;1225;2;84.22;0;68;2.5;79.15;2.92;1.98;2.07;23.22;23.63;25.77;26.78;0.49;0.51;1.91;175.74;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.34;16.53;37.25;1225;2;84.22;0;68;2.5;79.15;2.92;1.98;2.07;23.22;23.63;25.77;26.78;0.49;0.51;1.91;175.74;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.34;16.53;37.25;1225;2;84.22;0;68;2.5;79.15;2.92;1.98;2.07;23.22;23.63;25.77;26.78;0.49;0.51;1.91;175.74;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.34;16.53;37.25;1225;2;84.22;0;68;2.5;79.15;2.92;1.98;2.07;23.22;23.63;25.77;26.78;0.49;0.51;1.91;175.74;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.28;17.94;37.25;1225;2;84.22;0;68;2.5;79.14;2.92;1.98;2.01;23.22;23.63;25.48;26.46;0.49;0.51;1.93;175.76;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.28;17.94;37.25;1225;2;84.22;0;68;2.5;79.14;2.92;1.98;2.01;23.22;23.63;25.48;26.46;0.49;0.51;1.93;175.76;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.28;17.94;37.25;1225;2;84.22;0;68;2.5;79.14;2.92;1.98;2.01;23.22;23.63;25.48;26.46;0.49;0.51;1.93;175.76;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.32;17.94;37.25;1225;2;84.22;0;68;2.5;79.14;2.92;1.98;2.05;23.22;23.63;25.48;26.46;0.49;0.51;1.93;175.76;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.32;17.94;37.25;1225;2;84.22;0;68;2.5;79.14;2.92;1.98;2.05;23.22;23.63;25.48;26.46;0.49;0.51;1.93;175.76;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.25;2.32;17.94;37.25;1225;2;84.22;0;68;2.5;79.14;2.92;1.98;2.05;23.22;23.63;25.48;26.46;0.49;0.51;1.93;175.76;3740056;3005750.5;12.02;;6.06375;21.8295;;6.06375;3.031875;;;
2.13;2.33;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.1;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.33;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.1;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.33;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.1;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.29;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.06;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.29;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.06;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.29;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.06;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.28;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.05;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.28;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.05;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.13;2.28;17;37.25;1250;2;84.22;0;69;2.5;79.14;2.77;1.91;2.05;23.23;23.63;25.18;26.14;0.49;0.51;1.96;175.79;3740056;3005750.5;12.02;;5.849375;21.05775;;5.849375;2.9246875;;;
2.25;2.29;17;37.25;1250;2;84.22;0;70;2.5;79.14;2.89;2.03;2.06;23.23;23.63;24.89;25.86;0.49;0.51;1.98;175.81;3740056;3005750.5;12.02;;6.216875;22.38075;;6.216875;3.1084375;;;
2.25;2.29;17;37.25;1250;2;84.22;0;70;2.5;79.14;2.89;2.03;2.06;23.23;23.63;24.89;25.86;0.49;0.51;1.98;175.81;3740056;3005750.5;12.02;;6.216875;22.38075;;6.216875;3.1084375;;;
2.25;2.29;17;37.25;1250;2;84.22;0;70;2.5;79.14;2.89;2.03;2.06;23.23;23.63;24.89;25.86;0.49;0.51;1.98;175.81;3740056;3005750.5;12.02;;6.216875;22.38075;;6.216875;3.1084375;;;
2.25;2.3;17;37.25;1250;2;84.22;0;70;2.5;79.14;2.89;2.03;2.07;23.23;23.63;24.89;25.86;0.49;0.51;1.98;175.81;3740056;3005750.5;12.02;;6.216875;22.38075;;6.216875;3.1084375;;;
2.25;2.3;17;37.25;1250;2;84.22;0;70;2.5;79.14;2.89;2.03;2.07;23.23;23.63;24.89;25.86;0.49;0.51;1.98;175.81;3740056;3005750.5;12.02;;6.216875;22.38075;;6.216875;3.1084375;;;
